2025-12-26 03:37:42 | INFO     | data.fetcher              | get_stock_data       | Fetched 202 rows for NKE (1h)
2025-12-26 03:37:42 | INFO     | data.fetcher              | get_stock_data       | Fetched 64 rows for MCD (1d)
2025-12-26 03:37:42 | INFO     | data.fetcher              | get_stock_data       | Fetched 202 rows for MCD (1h)
2025-12-26 03:37:42 | INFO     | data.fetcher              | get_stock_data       | Fetched 64 rows for CAT (1d)
2025-12-26 03:37:42 | INFO     | data.fetcher              | get_stock_data       | Fetched 202 rows for CAT (1h)
2025-12-26 03:37:42 | INFO     | data.fetcher              | get_stock_data       | Fetched 64 rows for BA (1d)
2025-12-26 03:37:42 | INFO     | data.fetcher              | get_stock_data       | Fetched 202 rows for BA (1h)
2025-12-26 03:37:43 | INFO     | data.fetcher              | get_stock_data       | Fetched 64 rows for HON (1d)
2025-12-26 03:37:43 | INFO     | data.fetcher              | get_stock_data       | Fetched 202 rows for HON (1h)
2025-12-26 03:37:43 | INFO     | data.fetcher              | get_stock_data       | Fetched 64 rows for UPS (1d)
2025-12-26 03:37:43 | INFO     | data.fetcher              | get_stock_data       | Fetched 202 rows for UPS (1h)
2025-12-26 03:37:43 | INFO     | data.fetcher              | get_stock_data       | Fetched 64 rows for RTX (1d)
2025-12-26 03:37:43 | INFO     | data.fetcher              | get_stock_data       | Fetched 202 rows for RTX (1h)
2025-12-26 03:37:43 | INFO     | data.fetcher              | get_stock_data       | Fetched 64 rows for XOM (1d)
2025-12-26 03:37:43 | INFO     | data.fetcher              | get_stock_data       | Fetched 202 rows for XOM (1h)
2025-12-26 03:37:44 | INFO     | data.fetcher              | get_stock_data       | Fetched 64 rows for CVX (1d)
2025-12-26 03:37:44 | INFO     | data.fetcher              | get_stock_data       | Fetched 202 rows for CVX (1h)
2025-12-26 03:37:44 | INFO     | data.fetcher              | get_stock_data       | Fetched 64 rows for COP (1d)
2025-12-26 03:37:44 | INFO     | data.fetcher              | get_stock_data       | Fetched 202 rows for COP (1h)
2025-12-26 03:37:44 | INFO     | data.fetcher              | get_stock_data       | Fetched 66 rows for AI.PA (1d)
2025-12-26 03:37:44 | INFO     | data.fetcher              | get_stock_data       | Fetched 267 rows for AI.PA (1h)
2025-12-26 03:37:44 | INFO     | data.fetcher              | get_stock_data       | Fetched 66 rows for AIR.PA (1d)
2025-12-26 03:37:44 | INFO     | data.fetcher              | get_stock_data       | Fetched 267 rows for AIR.PA (1h)
2025-12-26 03:37:44 | INFO     | data.fetcher              | get_stock_data       | Fetched 66 rows for ALO.PA (1d)
2025-12-26 03:37:45 | INFO     | data.fetcher              | get_stock_data       | Fetched 267 rows for ALO.PA (1h)
2025-12-26 03:37:45 | WARNING  | data.fetcher              | get_stock_data       | No data returned for MT.PA
2025-12-26 03:37:45 | WARNING  | data.fetcher              | get_stock_data       | No data returned for MT.PA
2025-12-26 03:37:45 | INFO     | data.fetcher              | get_stock_data       | Fetched 66 rows for CS.PA (1d)
2025-12-26 03:37:45 | INFO     | data.fetcher              | get_stock_data       | Fetched 267 rows for CS.PA (1h)
2025-12-26 03:37:45 | INFO     | data.fetcher              | get_stock_data       | Fetched 66 rows for BNP.PA (1d)
2025-12-26 03:37:45 | INFO     | data.fetcher              | get_stock_data       | Fetched 267 rows for BNP.PA (1h)
2025-12-26 03:37:45 | INFO     | data.fetcher              | get_stock_data       | Fetched 66 rows for EN.PA (1d)
